date,arrive_num,acuity_avg,acuity_1_num,acuity_2_num,acuity_3_num,acuity_4_num,acuity_5_num
4/16/23,252,3.12,2,49,129,57,13
4/17/23,302,3.248344371,5,34,151,105,7
4/18/23,289,3.149825784,3,38,163,79,4
4/19/23,275,3.167883212,1,41,146,83,3
4/20/23,236,3.083333333,1,40,131,51,5
4/21/23,278,3.124542125,2,46,144,78,3
4/22/23,252,3.088709677,2,52,122,66,6
4/23/23,256,3.250980392,0,32,136,78,9
4/24/23,312,3.140522876,1,50,167,81,7
4/25/23,274,3.095588235,2,43,155,71,1
4/26/23,303,3.146666667,3,45,160,89,3
4/27/23,267,3.116981132,3,47,133,80,2
4/28/23,273,3.164179104,1,38,149,76,4
4/29/23,213,3.138095238,4,30,114,57,5
4/30/23,240,3.138655462,1,38,128,69,2
5/1/23,293,3.110726644,4,58,141,74,12
5/2/23,284,3.09252669,1,53,154,65,8
5/3/23,262,3.176923077,0,37,151,61,11
5/4/23,265,3.180076628,1,33,150,72,5
5/5/23,254,3.015748031,4,46,151,48,5
5/6/23,221,3.082568807,0,44,119,48,7
5/7/23,225,3.058035714,3,41,120,60,0
5/8/23,290,3.167247387,2,40,158,82,5
5/9/23,254,3.296442688,1,28,135,73,16
5/10/23,229,3.114035088,0,39,125,63,1
5/11/23,248,3.197580645,2,41,122,72,11
5/12/23,291,3.059233449,0,51,174,56,6
5/13/23,234,3.086206897,1,41,130,57,3
5/14/23,235,3.055555556,1,44,134,51,4
5/15/23,342,3.128654971,4,62,175,88,13
5/16/23,311,3.074433657,4,53,172,76,4
5/17/23,281,3.119133574,2,45,153,72,5
5/18/23,298,3.033670034,2,62,160,70,3
5/19/23,253,3.09486166,2,37,156,51,7
5/20/23,262,3.007722008,2,65,128,57,7
5/21/23,268,3.142322097,1,53,132,69,12
